event_id,catalogue_id,span_key,span_label,recording_id,source_file,channel,fs,morphology,trigger,up_region_start_idx,up_region_end_idx,onset_idx,onset_h,trough_idx,trough_h,snippet_start_idx,snippet_end_idx,snippet_key,onset_slope_raw,max_slope_raw,drop_depth_mv,rise_height_mv,fall_duration_s,peak_to_peak_mv,fall_dominance,rise_frac_used,pre_context_s,post_context_s,detrend_window_s,segment_seconds,same_fraction,slope_sigma,purity,is_pure,cluster_id
id028_r6_1418129,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1415886,1416952,1418129,393.9247222222222,1418324,393.9788888888889,1416959,1418346,id028_r6_1418129,-0.00013097070545353695,-0.0001699286955965107,15.322372413416163,13.58147894249817,195.0,23.942725786179953,0.6399593993704941,0.5,1170.0,22.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1420892,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1418346,1419084,1420892,394.6922222222222,1421066,394.74055555555555,1419848,1421134,id028_r6_1420892,-0.000130087193140227,-0.00013454271577617583,12.364514285014172,13.91242872501941,174.0,21.486525541033473,0.5754543358534763,0.5,1044.0,68.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1426649,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1423840,1425070,1426649,396.2913888888889,1426828,396.3411111111111,1425575,1426874,id028_r6_1426649,-0.0001360742763112377,-0.00016320321251783731,14.751835131919133,9.614661884641329,179.0,28.522386272596954,0.5172019967379813,0.5,1074.0,46.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1436368,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1433352,1434746,1436368,398.99111111111114,1436549,399.0413888888889,1435282,1436550,id028_r6_1436368,-0.00013321570317637033,-0.00015574058553491366,14.578433398279689,11.830070080597999,181.0,25.906612286528574,0.5627302109994701,0.5,1086.0,1.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1442186,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1439666,1440732,1442186,400.6072222222222,1442371,400.6586111111111,1441076,1442372,id028_r6_1442186,-0.00012760576610437724,-0.0001325465331586395,12.154981868371717,12.584730478910844,185.0,23.492272548886195,0.5174034075706313,0.5,1110.0,1.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1444844,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1442372,1443684,1444844,401.34555555555556,1445021,401.39472222222224,1443782,1445078,id028_r6_1444844,-0.00012654247331078672,-0.00014688870496437634,12.704070219452523,11.893215149321179,177.0,24.954670211384755,0.5090858789893647,0.5,1062.0,57.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1447378,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1445078,1446308,1447378,402.0494444444444,1447584,402.1066666666667,1446142,1447620,id028_r6_1447378,-0.00013746737173736534,-0.00013746737173736534,13.856950269099721,14.042690370953848,206.0,25.889392104929023,0.5352366024253435,0.5,1236.0,36.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1454961,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1452704,1453606,1454961,404.1558333333333,1455145,404.20694444444445,1453857,1455164,id028_r6_1454961,-0.00013062762719229237,-0.0001643505576084392,13.694429812347586,12.908190245646267,184.0,21.465413457608882,0.6379765215979707,0.5,1104.0,19.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1457412,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1455164,1456312,1457412,404.83666666666664,1457613,404.8925,1456206,1457624,id028_r6_1457412,-0.0001336188572488295,-0.00014709594174933116,13.09179760150081,14.117880526106186,201.0,21.263414244360177,0.6156959296869845,0.5,1206.0,11.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
id028_r6_1459761,28,id028,ID 28,6,CH5.npy,5,1.0,sharkfin,rise,1457624,1458772,1459761,405.4891666666667,1459973,405.54805555555555,1458489,1460002,id028_r6_1459761,-0.0001307843201510117,-0.0001307843201510117,12.502751337217122,15.835670039065386,212.0,18.866023170988512,0.6627126037056608,0.5,1272.0,29.0,4103.333333333333,82.06666666666666,0.6,8.0,1,1,-1
